estacion,fecha,rr,tmx,tmn,tmd,hf,vv,RS
M0001,2015-12-06,0.5,16,8.6,11.3,4.05,3.19,-9999
M0001,2015-12-07,0.4,15.5,7.8,10.9,9.94,9.99,-9999
M0001,2015-12-08,0,17.8,7.6,11.1,4.66,2.54,-9999
M0001,2015-12-09,0,17.5,7.5,11.5,5.99,3.33,-9999
M0001,2015-12-10,0,17.8,7.8,12,7.47,11.9,-9999
M0001,2015-12-11,23.6,15.4,8,10.8,1.4,8.2,-9999
M0001,2015-12-12,3,14.7,7.4,11,6.7,2.68,-9999
M0001,2015-12-13,16,16.8,7,11.9,6.35,11.8,-9999
M0001,2015-12-14,23.5,17.8,7,12.1,7.53,9.98,-9999
M0001,2015-12-15,1.2,17.4,7.8,11.8,6.35,15.49,-9999
M0001,2015-12-16,0,17.9,7,12.1,9.17,4.04,-9999
M0001,2015-12-17,0,18,7,12,7.81,13.12,-9999
M0001,2015-12-18,0,17.5,7.4,11.7,7.25,2.29,-9999
M0001,2015-12-19,0,18.6,7.8,12.1,5.4,10.94,-9999
M0001,2015-12-20,0,18.4,7.3,12.3,5.89,5.9,-9999
M0001,2015-12-21,0,17.4,6.8,11.8,10.09,9.64,-9999
M0001,2015-12-22,0,17.8,7.9,13.6,6.27,11.45,-9999
M0001,2015-12-23,0,17.8,7.9,13.6,5.49,2.71,-9999
M0001,2015-12-24,0,19,7.6,13.3,8.02,14.63,-9999
M0001,2015-12-25,0.3,15,8.6,11.2,2.98,13.48,-9999
M0001,2015-12-26,0,18.1,7.8,12.1,8.96,7.19,-9999
M0001,2015-12-27,0,18,9.5,11.7,6.32,15.95,-9999
M0001,2015-12-28,16.5,16.8,7.6,11.8,8.45,11.07,-9999
M0001,2015-12-29,4.2,17.6,8.9,12,8.07,1.03,-9999
M0001,2015-12-30,0,17.9,8.8,12.1,4.06,10.15,-9999
M0001,2015-12-31,2.6,18.5,8.9,12.2,10.71,9.4,-9999
M0001,2016-01-01,0,17.5,8.6,13,8.45,5.55,-9999
M0001,2016-01-02,0,16.3,9.1,11.1,10.76,11.75,-9999
M0001,2016-01-03,0,14.8,9.1,10.9,3.94,14.32,-9999
M0001,2016-01-04,1.3,14.1,8.6,11,2.51,9.47,-9999
M0001,2016-01-05,0,12.7,9,10.7,2.82,3.46,-9999
M0001,2016-01-06,2.9,16.1,9.3,11.7,9.85,15.2,-9999
M0001,2016-01-07,0,18.6,7.4,13.1,2,11.24,-9999
M0001,2016-01-08,0,18.9,6.9,12.9,3.88,9.87,-9999
